"Date","Time","WSPD","WD","GST","ATMP","WTMP","BARO","DEPTH","VIS"
"12/10/2020","00:00","07.5","324","08.2","10.6","14.2","1026.9","2.20","75"
"12/10/2020","00:05","07.4","324","08.1","10.7","14.6","1027.0","2.20","92"
"12/10/2020","00:10","07.2","325","08.0","10.7","14.6","1027.0","2.20","94"
"12/10/2020","00:15","07.3","326","07.9","10.7","14.0","1027.0","2.10","83"
"12/10/2020","00:20","06.7","327","07.3","10.8","14.5","1026.9","2.10","75"
"12/10/2020","00:25","07.2","333","07.6","10.6","14.6","1026.9","2.10","75"
"12/10/2020","00:30","07.5","327","08.0","10.7","14.2","1026.8","2.10","75"
"12/10/2020","00:35","07.7","329","08.2","10.5","14.0","1026.8","2.10","75"
"12/10/2020","00:40","07.8","327","08.8","10.6","14.0","1026.8","2.10","75"
"12/10/2020","00:45","08.2","325","08.7","10.5","14.0","1026.8","2.10","75"
"12/10/2020","00:50","08.1","328","09.1","10.5","14.0","1026.9","2.10","75"
"12/10/2020","00:55","08.5","327","09.0","10.3","13.9","1026.9","2.10","75"
"12/10/2020","01:00","07.8","324","08.8","10.3","14.0","1026.9","2.10","75"
"12/10/2020","01:05","08.2","325","09.7","10.3","13.9","1026.8","2.10","75"
"12/10/2020","01:10","07.9","323","09.0","10.3","14.0","1026.8","2.10","75"
"12/10/2020","01:15","07.8","320","08.4","10.3","13.9","1026.9","2.10","75"
"12/10/2020","01:20","07.1","320","08.4","10.3","13.9","1026.8","2.10","75"
"12/10/2020","01:25","06.7","306","07.8","10.2","14.0","1026.8","2.20","75"
"12/10/2020","01:30","05.5","294","06.3","10.4","14.0","1026.8","2.20","75"
"12/10/2020","01:35","05.9","270","06.6","10.4","14.6","1026.7","2.20","75"
"12/10/2020","01:40","05.1","287","05.4","10.2","14.6","1026.6","2.20","71"
"12/10/2020","01:45","04.1","295","04.6","10.2","14.6","1026.5","2.20","75"
"12/10/2020","01:50","03.6","301","04.6","10.3","14.6","1026.5","2.20","75"
"12/10/2020","01:55","03.1","276","04.0","10.2","14.6","1026.4","2.20","75"
"12/10/2020","02:00","03.3","261","04.0","10.2","14.6","1026.4","2.20","75"
"12/10/2020","02:05","04.5","282","05.5","10.2","14.6","1026.2","2.20","75"
"12/10/2020","02:10","05.2","290","06.3","10.3","14.6","1026.1","2.20","81"
"12/10/2020","02:15","06.3","272","07.1","10.2","14.6","1026.2","2.30","75"
"12/10/2020","02:20","06.3","273","06.7","09.9","14.6","1026.2","2.30","81"
"12/10/2020","02:25","05.1","296","06.2","09.8","14.6","1026.2","2.30","75"
"12/10/2020","02:30","04.8","265","05.7","09.8","14.6","1026.3","2.30","75"
"12/10/2020","02:35","03.7","260","04.3","09.7","14.6","1026.0","2.30","75"
"12/10/2020","02:40","04.0","266","04.7","09.7","14.6","1025.9","2.30","88"
"12/10/2020","02:45","03.8","263","04.4","09.7","14.6","1025.9","2.30","75"
"12/10/2020","02:50","04.0","258","05.0","09.8","14.2","1025.9","2.30","75"
"12/10/2020","02:55","03.3","265","04.2","09.9","14.0","1025.9","2.30","75"
"12/10/2020","03:00","03.1","280","04.3","09.9","14.0","1026.0","2.30","75"
"12/10/2020","03:10","02.8","284","03.9","10.0","14.6","1025.8","2.40","75"
"12/10/2020","03:15","02.5","292","03.8","10.0","14.6","1025.9","2.40","75"
"12/10/2020","03:20","02.6","296","03.2","10.0","14.6","1025.9","2.40","75"
"12/10/2020","03:25","02.6","294","03.3","10.1","14.6","1026.0","2.40","75"
"12/10/2020","03:30","02.0","293","02.9","10.0","14.6","1025.9","2.40","75"
"12/10/2020","03:35","01.5","313","02.6","10.0","14.0","1025.7","2.40","70"
"12/10/2020","03:40","01.2","282","02.5","10.1","14.0","1025.6","2.40","71"
"12/10/2020","03:45","01.5","268","02.0","10.1","14.0","1025.4","2.40","75"
"12/10/2020","03:50","01.3","234","02.3","10.0","14.0","1025.3","2.40","70"
"12/10/2020","03:55","00.9","208","01.5","10.1","14.6","1025.2","2.50","75"
"12/10/2020","04:00","01.1","296","01.4","10.2","14.6","1025.3","2.50","68"
"12/10/2020","04:05","01.2","341","01.7","10.2","14.6","1025.3","2.50","75"
"12/10/2020","04:10","01.0","310","01.6","10.2","14.6","1025.3","2.50","75"
"12/10/2020","04:15","01.1","352","01.7","10.2","14.6","1025.4","2.50","75"
"12/10/2020","04:20","01.1","348","01.7","10.4","14.6","1025.3","2.50","71"
"12/10/2020","04:25","00.6","030","01.0","10.3","14.6","1025.3","2.60","75"
"12/10/2020","04:30","01.4","302","02.1","10.3","14.3","1025.3","2.60","75"
"12/10/2020","04:35","00.9","318","01.2","10.4","14.6","1025.1","2.60","65"
