"Date","Time","WSPD","WD","GST","ATMP","WTMP","BARO","DEPTH","AWVHT","MWVHT","WVHT","APD"
"12/10/2020","00:00","04.1","345","04.6","11.4","N/A","1026.9","2.19","0.11","0.11","0.12","5.02"
"12/10/2020","00:05","04.3","348","05.1","11.4","N/A","1026.9","2.18","0.10","0.14","0.12","5.02"
"12/10/2020","00:10","04.4","344","04.9","11.4","N/A","1027.1","2.16","0.16","0.16","0.12","5.02"
"12/10/2020","00:15","04.8","336","05.3","11.5","N/A","1026.7","2.14","0.16","0.16","0.13","8.26"
"12/10/2020","00:20","04.6","332","05.2","11.3","N/A","1026.9","2.12","0.14","0.15","0.13","8.26"
"12/10/2020","00:25","04.2","331","05.1","11.2","N/A","1026.8","2.09","0.11","0.15","0.13","8.26"
"12/10/2020","00:30","04.7","331","05.0","11.2","N/A","1026.8","2.09","0.15","0.15","0.13","6.57"
"12/10/2020","00:35","04.0","326","04.6","11.2","N/A","1026.8","2.08","0.17","0.17","0.13","6.57"
"12/10/2020","00:40","04.2","325","04.7","11.2","N/A","1026.8","2.07","0.17","0.17","0.13","6.57"
"12/10/2020","00:45","04.5","311","05.0","11.1","N/A","1026.8","2.06","0.14","0.14","0.13","5.45"
"12/10/2020","00:50","04.8","320","05.2","11.1","N/A","1026.8","2.05","0.14","0.14","0.13","5.45"
"12/10/2020","00:55","04.8","308","05.2","11.0","N/A","1026.8","2.05","0.15","0.15","0.13","5.45"
"12/10/2020","01:00","04.7","297","05.1","11.0","N/A","1026.8","2.04","0.16","0.16","0.12","9.48"
"12/10/2020","01:05","05.2","291","06.0","11.1","N/A","1026.8","2.05","0.16","0.16","0.12","9.48"
"12/10/2020","01:10","05.1","289","06.1","11.1","N/A","1026.8","2.05","0.11","0.12","0.12","9.48"
"12/10/2020","01:15","04.0","292","04.7","11.1","N/A","1026.6","2.05","0.15","0.15","0.12","7.32"
"12/10/2020","01:20","02.9","293","03.2","11.2","N/A","1026.8","2.06","0.11","0.14","0.12","7.32"
"12/10/2020","01:25","03.2","299","03.5","11.2","N/A","1026.6","2.07","0.14","0.16","0.12","7.32"
"12/10/2020","01:30","03.8","295","04.0","11.3","N/A","1026.4","2.07","0.14","0.14","0.12","6.25"
"12/10/2020","01:35","05.1","296","05.6","11.3","N/A","1026.6","2.08","0.12","0.12","0.12","6.25"
"12/10/2020","01:40","05.8","295","06.3","11.4","N/A","1026.6","2.08","0.10","0.10","0.12","6.25"
"12/10/2020","01:45","06.0","289","06.6","11.4","N/A","1026.6","2.09","0.08","0.10","0.10","7.76"
"12/10/2020","01:50","05.9","292","06.4","11.4","N/A","1026.3","2.10","0.13","0.13","0.10","7.76"
"12/10/2020","01:55","08.1","297","08.5","11.1","N/A","1026.3","2.11","0.11","0.11","0.10","7.76"
"12/10/2020","02:00","07.7","291","08.8","11.1","N/A","1026.3","2.13","0.13","0.13","0.11","5.23"
"12/10/2020","02:05","07.0","297","07.8","10.9","N/A","1026.1","2.13","0.10","0.10","0.11","5.23"
"12/10/2020","02:10","06.4","307","07.1","10.9","N/A","1026.3","2.15","0.10","0.11","0.11","5.23"
"12/10/2020","02:15","06.0","309","06.6","11.0","N/A","1026.1","2.17","0.14","0.14","0.12","6.57"
"12/10/2020","02:20","05.7","317","06.5","10.9","N/A","1026.3","2.17","0.09","0.13","0.12","6.57"
"12/10/2020","02:25","05.9","328","06.5","10.9","N/A","1026.1","2.19","0.10","0.10","0.12","6.57"
"12/10/2020","02:30","05.2","327","05.6","10.8","N/A","1026.1","2.20","0.13","0.13","0.10","8.83"
"12/10/2020","02:35","04.8","320","05.3","10.8","N/A","1026.3","2.22","0.09","0.13","0.10","8.83"
"12/10/2020","02:40","04.6","318","05.0","10.7","N/A","1026.0","2.24","0.10","0.10","0.10","8.83"
"12/10/2020","02:45","04.0","321","04.6","10.7","N/A","1025.8","2.26","0.10","0.10","0.11","8.26"
"12/10/2020","02:50","03.9","318","04.3","10.8","N/A","1025.8","2.27","0.10","0.10","0.11","8.26"
"12/10/2020","02:55","04.0","326","04.3","10.8","N/A","1025.6","2.29","0.10","0.11","0.11","8.26"
"12/10/2020","03:00","03.7","334","04.3","10.9","N/A","1026.0","2.31","0.12","0.12","0.11","4.34"
"12/10/2020","03:05","04.4","318","04.7","10.8","N/A","1026.0","2.32","0.14","0.14","0.11","4.34"
"12/10/2020","03:10","05.1","316","05.5","10.7","N/A","1026.0","2.34","0.12","0.13","0.11","4.34"
"12/10/2020","03:15","05.2","316","05.8","10.6","N/A","1026.0","2.35","0.09","0.10","0.10","7.76"
"12/10/2020","03:20","05.8","307","06.2","10.6","N/A","1026.0","2.37","0.09","0.09","0.10","7.76"
"12/10/2020","03:25","05.5","325","05.9","10.5","N/A","1026.0","2.39","0.08","0.09","0.10","7.76"
"12/10/2020","03:30","04.5","310","05.2","10.5","N/A","1025.8","2.41","0.08","0.10","0.10","8.26"
"12/10/2020","03:35","04.5","324","05.0","10.4","N/A","1025.8","2.42","0.09","0.10","0.10","8.26"
"12/10/2020","03:40","04.3","330","04.8","10.4","N/A","1025.6","2.45","0.07","0.12","0.10","8.26"
"12/10/2020","03:45","02.7","315","03.3","10.5","N/A","1025.5","2.47","0.09","0.09","0.11","6.57"
"12/10/2020","03:50","02.3","325","02.7","10.5","N/A","1025.5","2.49","0.09","0.09","0.11","6.57"
"12/10/2020","03:55","01.9","322","02.4","10.5","N/A","1025.5","2.52","0.09","0.09","0.11","6.57"
"12/10/2020","04:00","01.2","332","01.8","10.5","N/A","1025.3","2.55","0.06","0.08","0.12","8.26"
"12/10/2020","04:05","00.0","000","00.0","10.5","N/A","1025.2","2.58","0.08","0.08","0.12","8.26"
"12/10/2020","04:10","00.0","000","00.0","10.6","N/A","1025.2","2.60","0.08","0.11","0.12","8.26"
"12/10/2020","04:15","00.0","000","00.0","10.6","N/A","1025.3","2.63","0.09","0.09","0.12","8.83"
"12/10/2020","04:20","00.0","000","00.0","10.6","N/A","1025.2","2.65","0.07","0.10","0.12","8.83"
"12/10/2020","04:25","00.0","000","00.0","10.7","N/A","1025.3","2.68","0.14","0.14","0.12","8.83"
"12/10/2020","04:30","00.0","000","00.0","10.7","N/A","1025.5","2.70","0.09","0.10","0.12","6.92"
"12/10/2020","04:35","02.2","319","02.6","10.8","N/A","1025.2","2.74","0.08","0.09","0.12","6.92"
"12/10/2020","04:40","02.4","326","02.7","10.8","N/A","1025.0","2.77","0.08","0.10","0.12","6.92"
"12/10/2020","04:45","00.8","333","01.5","10.8","N/A","1025.0","2.79","0.11","0.12","0.13","4.83"
"12/10/2020","04:50","01.5","330","01.8","10.8","N/A","1025.0","2.83","0.09","0.09","0.13","4.83"
"12/10/2020","04:55","01.1","325","01.8","10.8","N/A","1024.8","2.86","0.11","0.11","0.13","4.83"
"12/10/2020","05:00","01.5","329","02.0","10.9","N/A","1024.7","2.90","0.08","0.09","0.14","9.48"
"12/10/2020","05:05","00.0","352","00.0","10.8","N/A","1024.7","2.94","0.10","0.10","0.14","9.48"
"12/10/2020","05:10","00.0","000","00.0","10.7","N/A","1024.5","2.97","0.07","0.09","0.14","9.48"
